# 연혁 — 시간순 정렬(오래된 것부터). 형식: 날짜 | 내용
2012.12.31 | 『Comparative Korean Studies』 제20권 3호 발간
2013.04.23 | 제25회 국제학술대회 (Rutgers University, Department of Asian Languages and Cultures) “Politics of Korean Literature: Translation and Interpretation” (후원: 한국문학번역원)
2013.04.30 | 『Comparative Korean Studies』 제21권 1호 발간
2013.06.15 | 제26회 국내학술대회 (서강대학교) “미국한국학에 관한 질문과 모색: 문학, 영화 번역의 문제” (후원: 서강대학교 인문과학연구소)
2013.08.31 | 『Comparative Korean Studies』 제21권 2호 발간
2013.12.31 | 『Comparative Korean Studies』 제21권 3호 발간
2014.04.30 | 『Comparative Korean Studies』 제22권 1호 발간
2014.06.21 | 제27회 국내학술대회 (고려대학교) “한국전쟁과 세계문학” (후원: 한국연구재단)
2014.08.31 | 『Comparative Korean Studies』 제22권 2호 발간
2014.09.19–20 | 제28회 국제학술대회 (일본 도시샤대학교) “동아시아의 타자 인식과 담론의 과제” (공동주최: 인하대학교 한국학연구소, 도시샤대학교 코리아센터; 후원: 대산문화재단)
2014.12.31 | 『Comparative Korean Studies』 제22권 3호 발간
2015.03.28 | 제29회 국내학술대회 (고려대학교) “비교문학의 현황과 과제”
2015.04.30 | 『Comparative Korean Studies』 제23권 1호 발간
2015.07.04 | 제30회 국내학술대회 (연세대학교) “문학·문화 연구의 탈경계적 지평과 재구성” (공동주최: 인하대학교 한국학연구소)
2015.08.31 | 『Comparative Korean Studies』 제23권 2호 발간
2015.12.12 | 제31회 국내학술대회 (고려대학교) “폭력의 정동과 노모스” · 정관 개정
2015.12.31 | 『비교한국학 Comparative Korean Studies』 제23권 3호 발간
2016.04.30 | 『비교한국학 Comparative Korean Studies』 제24권 1호 발간
2016.07.02 | 제32회 국내학술대회 (상명대학교) “한국과 외국의 상호 문화수용과 쟁점”
2016.08.31 | 『비교한국학 Comparative Korean Studies』 제24권 2호 발간
2016.10.29 | 제33회 국내학술대회 (인하대학교) “인문주의와 인문교육의 현황 및 과제” (공동주최: 인하대학교 한국학연구소, 후원: 한국연구재단)
2016.12.31 | 『비교한국학 Comparative Korean Studies』 제24권 3호 발간
2017.04.30 | 『비교한국학 Comparative Korean Studies』 제25권 1호 발간
2017.07.08 | 제34회 국제학술대회 (고려대학교) “한국의 사회문화와 민주주의에 대한 재성찰”
2017.08.03 | 『비교한국학 Comparative Korean Studies』 제25권 2호 발간
2017.12.31 | 『비교한국학 Comparative Korean Studies』 제25권 3호 발간
2018.02.03 | 제35회 국제학술대회 (릿쿄대학교 이케부쿠로 캠퍼스) “윤동주 문학과 동아시아의 미래적 가치”
2018.04.30 | 『비교한국학 Comparative Korean Studies』 제26권 1호 발간
2018.07.07 | 제36회 국내학술대회 (경희대학교) “문학의 정치사회학의 국제적 변화 양상 — 문학연구와 인문사회과학의 새로운 접점을 모색하며”
2018.07.13–20 | 제37회 국제학술대회 (Adam Mickiewicz University, Poznan, Poland) “The 1st International Asian Congress — 6th International Conference on Korean Humanities and Social Sciences” (공동주최: Adam Mickiewicz University, King Sejong Institute, Poznan)
2018.08.03 | 『비교한국학 Comparative Korean Studies』 제26권 2호 발간
2018.12.31 | 『비교한국학 Comparative Korean Studies』 제26권 3호 발간
2019.04.19–20 | 제38회 국제학술대회 (중국 산동대학교) “한중 근대화 및 근대화 담론” (공동주최: 중국 산동대학교 동북아대학 한국학원)
2019.10.26 | 제39회 국내학술대회 (문학과지성사 사옥) “한국에서의 외국문학연구, 그 역사와 전망”
2019.12.31 | 『비교한국학 Comparative Korean Studies』 제27권 3호 발간
2020.04.30 | 『비교한국학 Comparative Korean Studies』 제28권 1호 발간
2020.08.12 | 제40회 국내학술대회 (한국방송통신대학교 대학로캠퍼스) “김현 30주기 추모”
2020.08.31 | 『비교한국학 Comparative Korean Studies』 제28권 2호 발간
2020.12.31 | 『비교한국학 Comparative Korean Studies』 제28권 3호 발간 · 본 호부터 전자책(e-book) 발행 전환
2021.02.06 | 제41회 국내학술대회 (ZOOM 온라인 회의실) “포스트 팬데믹 시대 페미니즘/젠더의 향방”
2021.04.30 | 『비교한국학 Comparative Korean Studies』 제29권 1호 발간
2021.08.21 | 제42회 국내학술대회 (ZOOM 온라인 회의실) “횡단하는 세계문학과 한국문학”
2021.08.31 | 『비교한국학 Comparative Korean Studies』 제29권 2호 발간
2021.12.04 | 제43회 국내학술대회 (ZOOM 온라인 회의실) “코로나19 팬데믹 시대의 비교한국학”
2021.12.23 | 정관 개정
2021.12.31 | 『비교한국학 Comparative Korean Studies』 제29권 3호 발간
2022.04.30 | 『비교한국학 Comparative Korean Studies』 제30권 1호 발간
2022.06.18 | 제44회 국내학술대회 (ZOOM 온라인 회의실) “팬데믹 시대, 생명과 죽음”
2022.08.31 | 『비교한국학 Comparative Korean Studies』 제30권 2호 발간
2022.12.31 | 『비교한국학 Comparative Korean Studies』 제30권 3호 발간
2023.01.14 | 제45회 국내학술대회 (ZOOM 온라인 회의실) “사건으로서의 전쟁과 그 의미”
2023.04.30 | 『비교한국학 Comparative Korean Studies』 제31권 1호 발간
2023.06.17 | 제46회 국내학술대회 (ZOOM 온라인 회의실) “인류의 경계넘기의 역사와 이민자 문학의 탄생”
2023.08.31 | 『비교한국학 Comparative Korean Studies』 제31권 2호 발간
